event_id,time,latitude,longitude,depth_km,magnitude,distance_from_previous_km
cluster_2007_February,2007-02-15 12:00:00,31.05,82.7715,5.4,4.5,272.5397162818494
cluster_2007_March,2007-03-15 12:00:00,31.735500000000002,78.167,35.8,4.4,444.446393761237
cluster_2007_May,2007-05-15 12:00:00,28.352,87.1105,83.7,3.9,940.1343626354452
cluster_2007_June,2007-06-15 12:00:00,27.276249999999997,88.12175,23.55,4.35,155.36563317700762
cluster_2007_July,2007-07-15 12:00:00,29.9925,88.15899999999999,10.0,3.7,301.06366167327144
cluster_2007_August,2007-08-15 12:00:00,30.698666666666668,89.121,10.0,4.0,121.1766727838586
cluster_2008_February,2008-02-15 12:00:00,32.29897826086956,85.13817391304349,10.0,4.05,417.87861078694885
cluster_2008_April,2008-04-15 12:00:00,30.046333333333333,81.87566666666667,10.0,4.4,398.84693525424575
cluster_2008_July,2008-07-15 12:00:00,28.167666666666666,86.03899999999999,12.9,3.7,455.56804919006936
cluster_2008_September,2008-09-15 12:00:00,30.699907692307693,83.21375384615385,10.0,4.1,392.30418336751296
cluster_2008_October,2008-10-15 12:00:00,30.741897435897435,83.34271794871795,10.0,3.8,13.200422009548298
cluster_2008_November,2008-11-15 12:00:00,29.749307692307692,90.44946153846152,10.0,4.3,692.6754909141649
cluster_2008_December,2008-12-15 12:00:00,30.62557894736842,83.60605263157895,10.0,3.7,666.0601355135694
cluster_2009_January,2009-01-15 12:00:00,30.30583333333333,82.64633333333335,19.0,4.05,98.7454530514777
cluster_2009_August,2009-08-15 12:00:00,31.0515,85.856,11.7,4.949999999999999,318.46166870542396
cluster_2009_October,2009-10-15 12:00:00,27.308999999999997,91.48575,12.0,4.3,686.7865733310805
