time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-02-28T22:03:23.550Z,28.363,86.579,35,4,mb,24,82.1,,0.94,us,usp000h8ae,2014-11-07T01:40:48.869Z,"51 km NNW of Lobujya, Nepal",earthquake,,,,7,reviewed,us,us
2010-02-26T04:42:39.350Z,28.474,86.745,89.1,5.1,mwc,209,29.6,,0.79,us,usp000h7q0,2022-07-16T03:20:12.009Z,"58 km N of Lobujya, Nepal",earthquake,,,,,reviewed,us,gcmt
2010-02-25T14:06:19.770Z,29.701,81.68,35.2,4.3,mb,51,91.5,,0.87,us,usp000h7p8,2014-11-07T01:40:44.918Z,"67 km NW of Jumla, Nepal",earthquake,,9.9,,5,reviewed,us,us
2010-02-22T17:23:45.140Z,30.069,80.034,10,4.6,mb,71,47.2,,0.93,us,usp000h7jy,2014-11-07T01:40:44.299Z,"36 km NE of B?geshwar, India",earthquake,,,,4,reviewed,us,us
2010-02-19T16:14:55.810Z,30.678,83.848,43.2,4.2,mb,43,93.2,,1.2,us,usp000h7fm,2014-11-07T01:40:43.659Z,"200 km NW of Saga, China",earthquake,,7.9,,8,reviewed,us,us
2010-02-16T20:58:01.490Z,27.605,92.747,48.2,4.2,mb,42,96.9,,0.94,us,usp000h7ce,2014-11-07T01:40:43.015Z,"49 km NE of Bomdila, India",earthquake,,8.4,,7,reviewed,us,us
2010-01-11T05:15:16.160Z,29.744,80.557,35,4.7,mb,27,84.6,,1.09,us,usp000h5y8,2014-11-07T01:40:26.418Z,"9 km S of D?rchul?, Nepal",earthquake,,0,,4,reviewed,us,us
2010-01-05T14:28:18.340Z,32.384,85.273,54.1,4.9,mb,58,108.2,,0.83,us,usp000h5s1,2014-11-07T01:40:25.340Z,western Xizang,earthquake,,11.4,,15,reviewed,us,us
2010-01-01T02:22:23.820Z,30.646,83.791,10,5.2,mwc,84,78.6,,1.09,us,usp000h5jr,2022-05-02T21:31:54.774Z,"201 km NW of Saga, China",earthquake,,,,,reviewed,us,gcmt
2009-12-31T09:57:29.720Z,27.319,91.51,10,5.5,mb,205,37.4,,0.89,us,usp000h5j5,2022-07-15T23:31:40.266Z,"4 km WSW of Trashigang, Bhutan",earthquake,,,,118,reviewed,us,us
2009-12-28T02:15:04.870Z,30.686,83.769,10,4.4,mb,50,40.6,,1.08,us,usp000h5e0,2014-11-07T01:40:19.031Z,"206 km NW of Saga, China",earthquake,,,,9,reviewed,us,us
2009-12-16T06:13:01.520Z,29.518,81.471,35,4.3,mb,56,80.9,,1.34,us,usp000h536,2014-11-07T01:40:16.850Z,"58 km ENE of Dipayal, Nepal",earthquake,,,,9,reviewed,us,us
2009-12-01T11:23:28.430Z,27.272,91.455,10,4.2,mb,19,174.2,,1.12,us,usp000h4mw,2014-11-07T01:40:11.989Z,"11 km SW of Trashigang, Bhutan",earthquake,,,,3,reviewed,us,us
2009-11-30T12:38:49.270Z,27.352,91.435,10,4.4,mb,41,124.4,,0.96,us,usp000h4kw,2014-11-07T01:40:09.841Z,"11 km W of Trashigang, Bhutan",earthquake,,,,8,reviewed,us,us
2009-11-20T07:16:58.950Z,30.762,83.448,19,5,mwc,120,53.5,,0.77,us,usp000h47k,2022-05-02T21:26:25.155Z,"205 km NE of Jumla, Nepal",earthquake,,11.6,,,reviewed,us,gcmt
2009-11-18T00:49:04.510Z,27.683,90.446,43.9,4.5,mb,58,68.4,,0.94,us,usp000h45a,2014-11-07T01:40:07.299Z,"20 km NNW of Trongsa, Bhutan",earthquake,,6,,21,reviewed,us,us
